	"dac_hero_name_abaddon"								"Abaddon"
	"dac_item_black_king_bar"							"Black King Bar"
	"dac_item_mekansm"									"Mekansm"
	"dac_item_arcane_boots"								"Arcane Boots"
	"dac_item_daedalus"									"Daedalus"
	"dac_item_radiance"									"Radiance"
	"dac_item_skadi"									"Eye of Skadi"
	"dac_item_chainmail"								"Chainmail"
	"dac_item_gloves_of_haste"							"Gloves of Haste"
	"dac_item_moon_shard"								"Moon Shard"
	"dac_item_blight_stone"								"Blight Stone"
	"dac_item_shivas_guard"								"Shiva's Guard"
	"dac_item_bloodthorn"								"Bloodthorn"
	"dac_item_hood_of_defiance"							"Hood of Defiance"
	"dac_item_vanguard"									"Vanguard"
	"dac_item_basher"									"Skull Basher"
	"dac_item_pipe_of_insight"							"Pipe of Insight"
	"dac_item_bloodbound_hat"							"Big-Time Contract"
	"dac_item_sheepstick"								"Scythe of Vyse"
	"dac_item_force_staff"								"Force Staff"
	"dac_item_never_die_hat"							"Helm of the Undying"
	"dac_item_gold_on_last_hit_hat"						"Poaching Knife"
	"dac_item_final_flash_hat"							"Bracers of Desperation"
	"dac_item_summoning_stone"							"Summoning Stone"
	"dac_item_better_units_in_shop"						"A Higher Class of Criminal"
	"dac_item_additional_unit_cap_in_shop"				"Expanded Roster"
	"dac_item_cheaper_units_in_shop"					"Friends and Family Discount"
	"dac_item_extra_damage_per_unit"					"Vicious Intent"
	"dac_item_gold_on_defeat"							"Silver Lining"
	"dac_item_free_first_reroll"						"Recruiter"
	"dac_item_humans_turn_undead"						"Fall From Grace"
	"dac_item_elves_start_invisible"					"Elusive Targets"
	"dac_item_shamans_hex_attackers"					"Shaman Pluck"
	"dac_item_discount_rerolls"							"Recruiter"
	"dac_item_assassins_blind_on_landing"				"Pocket Sand"
	"dac_item_extra_items"								"Embarrassment of Riches"
	"dac_item_better_items"								"Smuggler"
	"dac_item_bonus_damage_on_low_life"					"Desperate Measures"
	"dac_item_prevent_next_life_loss"					"Aegis of the Immortal"
	"dac_item_mechs_explode_on_death"					"Unstable Reactor"
	"dac_item_trolls_have_aspd_aura"					"Coordinated Assault"
	"dac_item_goblins_give_gold_on_last_hit"			"Check the Bodies"
	"dac_item_orcs_get_extra_hp"						"Forged in Battle"
	"dac_item_demon_hunters_steal_demon"				"Strange Bedfellows"
	"dac_item_naga_skin"								"Retaliate"
	"dac_item_knights_absorption"						"Age of Chivalry"
	"dac_item_dragons_hoard"							"Dragon's Hoard"
	"dac_item_elementals_spawn_eidolons"				"Font of Creation"
	"dac_item_hunters_band"								"Hunter's Focus"
	"dac_item_humans_debuff_resist"						"Indomitable Will"
	"dac_item_druids_heal_over_time_on_death"			"Completing the Cycle"
	"dac_item_beast_bleed"								"Tooth and Claw"
	"dac_item_warriors_never_die"						"Unstoppable"
	"dac_item_warlocks_spell_lifesteal"					"Soul Sucking Syphon"
	"dac_item_undeads_stop_healing"						"Wicked Intent"
	"dac_item_lower_healing"							"Dawning of Ristul"
	"dac_item_mages_ghost_on_low_health"				"Final Flash"
	"DAC_Synergy_Beast"			"Savage"
	"DAC_Synergy_Savage"			"Savage"
	"DAC_Synergy_Demon"			"Demon"
	"DAC_Synergy_Dragon"		"Dragon"
	"DAC_Synergy_Dwarf"			"Deadeye"
	"DAC_Synergy_Element"		"Primordial"
	"DAC_Synergy_Primordial"		"Primordial"
	"DAC_Synergy_Elf"			"Elusive"
	"DAC_Synergy_Goblin"		"Scrappy"
	"DAC_Synergy_Human"			"Human"
	"DAC_Synergy_Naga"			"Scaled"
	"DAC_Synergy_Ogre"			"Blood-Bound"
	"DAC_Synergy_Orc"			"Brawny"
	"DAC_Synergy_Brawny"		"Brawny"
	"DAC_Synergy_Troll"			"Troll"
	"DAC_Synergy_Undead"		"Heartless"
	"DAC_Synergy_Satyr"			"Satyr"
	"DAC_Synergy_Assassin"		"Assassin"
	"DAC_Synergy_DemonHunter"	"Demon Hunter"
	"DAC_Synergy_Druid"			"Druid"
	"DAC_Synergy_Hunter"		"Hunter"
	"DAC_Synergy_Knight"		"Knight"
	"DAC_Synergy_Mage"			"Mage"
	"DAC_Synergy_Mech"			"Inventor"
	"DAC_Synergy_Inventor"		"Inventor"
	"DAC_Synergy_Shaman"		"Shaman"
	"DAC_Synergy_Warlock"		"Warlock"
	"DAC_Synergy_Warrior"		"Warrior"
	"DAC_Synergy_MegaWarrior"		"Mega-Warrior"
	"DAC_Synergy_MegaWarlock"		"Mega-Warlock"
	"DAC_Synergy_MegaElusive"		"Mega-Elusive"
	"DAC_Synergy_MegaAssassin"		"Mega-Assassin"
	"DAC_Synergy_MegaBloodbound"	"Mega-Bloodbound"
	"DAC_Synergy_MegaScaled"		"Mega-Scaled"
	"DAC_Synergy_MegaDemon"			"Mega-Demon"
	"DAC_Synergy_MegaTroll"			"Mega-Troll"
